t_g,t_real,res_food,res_wood,res_stone,res_gold,res_iron,res_coal,farm_cap,farm_used,peasants_total,peasants_idle,bld_bavbar,bld_bavbla,bld_bavcen,bld_bavhou,bld_eurcoa,bld_eurgol,bld_euriro,bld_eurmil,bld_eursto,unit_peaaus
270.0,192.86,1235,2018,620,1000,1122,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
275.0,196.43,1259,2043,620,1000,1162,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
280.0,200.0,1287,2073,620,1001,1201,0,150,15,15,0,0,0,1,2,1,1,1,0,1,15
285.0,203.57,1332,2123,620,1009,1241,0,150,15,15,0,0,0,1,2,1,1,1,0,1,15
290.0,207.14,1376,2173,620,1017,1280,0,150,15,15,0,0,0,1,2,1,1,1,0,1,15
295.0,210.71,1421,2223,620,1025,1320,0,150,15,15,0,0,0,1,2,1,1,1,0,1,15
300.0,214.29,1466,2272,620,1033,1359,0,150,15,15,0,0,0,1,2,1,1,1,0,1,15
305.0,217.86,1510,2322,620,1041,1399,0,150,15,15,0,0,0,1,2,1,1,1,0,1,15
310.0,221.43,1555,2372,620,1049,1438,0,150,15,15,0,0,1,1,2,1,1,1,0,1,15
315.0,225.0,1600,2422,620,1056,1478,0,150,15,15,0,0,1,1,2,1,1,1,0,1,15
320.0,228.57,1644,2471,620,1064,1517,0,150,15,15,0,0,1,1,2,1,1,1,0,1,15
325.0,232.14,1689,2521,620,1072,1557,0,150,15,15,0,0,1,1,2,1,1,1,0,1,15
330.0,235.71,1733,2571,620,1080,1596,0,150,15,15,0,0,1,1,2,1,1,1,0,1,15
335.0,239.29,1778,2621,620,1088,1636,0,150,15,15,0,0,1,1,2,1,1,1,0,1,15
340.0,242.86,1823,2671,620,1096,1675,0,150,15,15,0,0,1,1,2,1,1,1,1,1,15
345.0,246.43,1867,2720,620,1104,1715,0,150,15,15,0,0,1,1,2,1,1,1,1,1,15
350.0,250.0,1912,2770,620,1112,1754,0,150,15,15,0,0,1,1,2,1,1,1,1,1,15
355.0,253.57,1957,2820,620,1120,1794,0,150,15,15,0,0,1,1,2,1,1,1,1,1,15
360.0,257.14,2001,2870,620,1128,1833,0,150,15,15,0,0,1,1,2,1,1,1,1,1,15
